,ini,-0.09,-0.22,-0.71,-1.5,-2.5,-3.5,-4.5
1,0.004522949,0.0008214,0.001995,0.0043185,0.004523,0.004523,0.004523,0.004523
1,0.004522949,0.0008214,0.001995,0.0043185,0.004523,0.004523,0.004523,0.004523
1,0.004522949,0.0008214,0.001995,0.0043185,0.004523,0.004523,0.004523,0.004523
1,0.003855684,0.00070025,0.001701,0.003681,0.003856,0.003856,0.003856,0.003856
1,0.003855684,0.00070025,0.001701,0.003681,0.003856,0.003856,0.003856,0.003856
1,0.003937949,0.0007152,0.001737,0.00376,0.003938,0.003938,0.003938,0.003938
1,0.003937949,0.0007152,0.001737,0.00376,0.003938,0.003938,0.003938,0.003938
1,0.003937949,0.0007152,0.001737,0.00376,0.003938,0.003938,0.003938,0.003938
1,0.004440684,0.00080645,0.001959,0.00424,0.004441,0.004441,0.004441,0.004441
1,0.004440684,0.00080645,0.001959,0.00424,0.004441,0.004441,0.004441,0.004441
1,0.004815449,0.00087455,0.002124,0.004598,0.004815,0.004815,0.004815,0.004815
1,0.004815449,0.00087455,0.002124,0.004598,0.004815,0.004815,0.004815,0.004815
1,0.004815449,0.00087455,0.002124,0.004598,0.004815,0.004815,0.004815,0.004815
1,0.004733184,0.0008596,0.002088,0.004519,0.004733,0.004733,0.004733,0.004733
1,0.004733184,0.0008596,0.002088,0.004519,0.004733,0.004733,0.004733,0.004733
1,0.004230449,0.0007683,0.001866,0.004039,0.004231,0.004231,0.004231,0.004231
1,0.004230449,0.0007683,0.001866,0.004039,0.004231,0.004231,0.004231,0.004231
1,0.004230449,0.0007683,0.001866,0.004039,0.004231,0.004231,0.004231,0.004231
1,0.004148184,0.00075335,0.00183,0.0039605,0.004148,0.004148,0.004148,0.004148
1,0.004148184,0.00075335,0.00183,0.0039605,0.004148,0.004148,0.004148,0.004148
1,0.003791699,0.00068865,0.001672,0.0036205,0.003792,0.003792,0.003792,0.003792
1,0.003791699,0.00068865,0.001672,0.0036205,0.003792,0.003792,0.003792,0.003792
1,0.003791699,0.00068865,0.001672,0.0036205,0.003792,0.003792,0.003792,0.003792
1,0.004001934,0.00072685,0.001765,0.003821,0.004002,0.004002,0.004002,0.004002
1,0.004001934,0.00072685,0.001765,0.003821,0.004002,0.004002,0.004002,0.004002
1,0.004376699,0.0007949,0.00193,0.0041785,0.004377,0.004377,0.004377,0.004377
1,0.004376699,0.0007949,0.00193,0.0041785,0.004377,0.004377,0.004377,0.004377
1,0.004376699,0.0007949,0.00193,0.0041785,0.004377,0.004377,0.004377,0.004377
1,0.004586934,0.00083305,0.002023,0.0043795,0.004587,0.004587,0.004587,0.004587
1,0.004586934,0.00083305,0.002023,0.0043795,0.004587,0.004587,0.004587,0.004587
1,0.004084199,0.00074175,0.001801,0.0038995,0.004084,0.004084,0.004084,0.004084
1,0.004084199,0.00074175,0.001801,0.0038995,0.004084,0.004084,0.004084,0.004084
1,0.004084199,0.00074175,0.001801,0.0038995,0.004084,0.004084,0.004084,0.004084
1,0.004879434,0.0008862,0.002152,0.0046585,0.004879,0.004879,0.004879,0.004879
1,0.004879434,0.0008862,0.002152,0.0046585,0.004879,0.004879,0.004879,0.004879
