,ini,-0.12,-0.26,-0.76,-1.5,-2.5,-3.5,-4.5
1,0.003579781,0.0005476,0.001342,0.00305,0.003574,0.00358,0.00358,0.00358
1,0.003579781,0.0005476,0.001342,0.00305,0.003574,0.00358,0.00358,0.00358
1,0.003899281,0.0005965,0.001462,0.003322,0.003893,0.003899,0.003899,0.003899
1,0.003579781,0.0005476,0.001342,0.00305,0.003574,0.00358,0.00358,0.00358
1,0.003899281,0.0005965,0.001462,0.003322,0.003893,0.003899,0.003899,0.003899
1,0.004147781,0.0006345,0.001555,0.003534,0.004142,0.004148,0.004148,0.004148
1,0.004147781,0.0006345,0.001555,0.003534,0.004142,0.004148,0.004148,0.004148
1,0.003331281,0.0005096,0.001249,0.002839,0.003326,0.003331,0.003331,0.003331
1,0.004147781,0.0006345,0.001555,0.003534,0.004142,0.004148,0.004148,0.004148
1,0.003331281,0.0005096,0.001249,0.002839,0.003326,0.003331,0.003331,0.003331
1,0.003295781,0.0005042,0.001236,0.002808,0.003291,0.003296,0.003296,0.003296
1,0.003295781,0.0005042,0.001236,0.002808,0.003291,0.003296,0.003296,0.003296
1,0.003047281,0.0004661,0.001143,0.002596,0.003043,0.003047,0.003047,0.003047
1,0.003295781,0.0005042,0.001236,0.002808,0.003291,0.003296,0.003296,0.003296
1,0.003047281,0.0004661,0.001143,0.002596,0.003043,0.003047,0.003047,0.003047
1,0.003863781,0.0005911,0.001449,0.003292,0.003858,0.003864,0.003864,0.003864
1,0.003863781,0.0005911,0.001449,0.003292,0.003858,0.003864,0.003864,0.003864
1,0.003615281,0.000553,0.001356,0.00308,0.00361,0.003615,0.003615,0.003615
1,0.003863781,0.0005911,0.001449,0.003292,0.003858,0.003864,0.003864,0.003864
1,0.003615281,0.000553,0.001356,0.00308,0.00361,0.003615,0.003615,0.003615
1,0.003153781,0.0004824,0.001183,0.002687,0.003149,0.003154,0.003154,0.003154
1,0.003153781,0.0004824,0.001183,0.002687,0.003149,0.003154,0.003154,0.003154
1,0.003757281,0.0005748,0.001409,0.003202,0.003751,0.003757,0.003757,0.003757
1,0.003153781,0.0004824,0.001183,0.002687,0.003149,0.003154,0.003154,0.003154
1,0.003757281,0.0005748,0.001409,0.003202,0.003751,0.003757,0.003757,0.003757
1,0.003721781,0.0005693,0.001396,0.003171,0.003716,0.003722,0.003722,0.003722
1,0.003721781,0.0005693,0.001396,0.003171,0.003716,0.003722,0.003722,0.003722
1,0.003189281,0.0004879,0.001196,0.002718,0.003184,0.003189,0.003189,0.003189
1,0.003721781,0.0005693,0.001396,0.003171,0.003716,0.003722,0.003722,0.003722
1,0.003189281,0.0004879,0.001196,0.002718,0.003184,0.003189,0.003189,0.003189
1,0.003437781,0.0005259,0.001289,0.002929,0.003433,0.003438,0.003438,0.003438
1,0.003437781,0.0005259,0.001289,0.002929,0.003433,0.003438,0.003438,0.003438
1,0.003473281,0.0005313,0.001302,0.002959,0.003468,0.003473,0.003473,0.003473
1,0.003437781,0.0005259,0.001289,0.002929,0.003433,0.003438,0.003438,0.003438
1,0.003473281,0.0005313,0.001302,0.002959,0.003468,0.003473,0.003473,0.003473
1,0.004005781,0.0006128,0.001502,0.003413,0.004,0.004006,0.004006,0.004006
1,0.004005781,0.0006128,0.001502,0.003413,0.004,0.004006,0.004006,0.004006
1,0.004041281,0.0006182,0.001515,0.003443,0.004035,0.004041,0.004041,0.004041
1,0.004005781,0.0006128,0.001502,0.003413,0.004,0.004006,0.004006,0.004006
1,0.004041281,0.0006182,0.001515,0.003443,0.004035,0.004041,0.004041,0.004041
1,0.003224781,0.0004933,0.001209,0.002748,0.00322,0.003225,0.003225,0.003225
1,0.003224781,0.0004933,0.001209,0.002748,0.00322,0.003225,0.003225,0.003225
1,0.003402281,0.0005205,0.001276,0.002899,0.003397,0.003402,0.003402,0.003402
1,0.003224781,0.0004933,0.001209,0.002748,0.00322,0.003225,0.003225,0.003225
1,0.003402281,0.0005205,0.001276,0.002899,0.003397,0.003402,0.003402,0.003402
1,0.003792781,0.0005802,0.001422,0.003232,0.003787,0.003793,0.003793,0.003793
1,0.003792781,0.0005802,0.001422,0.003232,0.003787,0.003793,0.003793,0.003793
1,0.003970281,0.0006073,0.001489,0.003383,0.003964,0.00397,0.00397,0.00397
1,0.003792781,0.0005802,0.001422,0.003232,0.003787,0.003793,0.003793,0.003793
1,0.003970281,0.0006073,0.001489,0.003383,0.003964,0.00397,0.00397,0.00397
1,0.003508781,0.0005367,0.001316,0.00299,0.003503,0.003509,0.003509,0.003509
1,0.003508781,0.0005367,0.001316,0.00299,0.003503,0.003509,0.003509,0.003509
1,0.003686281,0.0005639,0.001382,0.003141,0.003681,0.003686,0.003686,0.003686
1,0.003508781,0.0005367,0.001316,0.00299,0.003503,0.003509,0.003509,0.003509
1,0.003686281,0.0005639,0.001382,0.003141,0.003681,0.003686,0.003686,0.003686
1,0.004076781,0.0006236,0.001529,0.003474,0.004071,0.004077,0.004077,0.004077
1,0.004076781,0.0006236,0.001529,0.003474,0.004071,0.004077,0.004077,0.004077
1,0.003118281,0.000477,0.001169,0.002657,0.003114,0.003119,0.003119,0.003119
1,0.004076781,0.0006236,0.001529,0.003474,0.004071,0.004077,0.004077,0.004077
1,0.003118281,0.000477,0.001169,0.002657,0.003114,0.003119,0.003119,0.003119
1,0.003366781,0.000515,0.001263,0.002869,0.003362,0.003367,0.003367,0.003367
